sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,totalSwimmingStrokeCount,totalFlightsClimbed,HKExternalUUID,HKWeatherTemperature,HKTimeZone,HKWeatherHumidity,HKElevationAscended,HKIndoorWorkout,HKAverageMETs
HKWorkoutTypeIdentifier,Runkeeper,1359,"iPhone8,1",,2017-03-22 14:32:29 +0000,2017-03-22 14:57:08 +0000,Running,1478.9999970197678,sec,477.664 kcal,4862.83 m,,,29D98F46-B0FB-42D8-AB7D-93411296CE0B,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1359,"iPhone8,1",,2017-03-26 15:39:56 +0000,2017-03-26 16:06:08 +0000,Running,1571.999,sec,495.593 kcal,5030.16 m,,,CE4A1A5A-6B82-4EDF-8E9A-D6CCDED9A5F8,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1359,"iPhone8,1",,2017-03-30 15:08:46 +0000,2017-03-30 15:52:14 +0000,Running,2607.999998986721,sec,667.335 kcal,6995 m,,,32E2B400-9789-40CD-A580-27458BC932A8,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1397,"iPhone8,1",,2017-04-03 13:42:59 +0000,2017-04-03 14:09:01 +0000,Running,1561.9999970197678,sec,478.648 kcal,4851.74 m,,,638C0D0C-13C1-4FDA-92A9-8892CFDEA627,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1397,"iPhone8,1",,2017-04-10 00:19:28 +0000,2017-04-10 01:04:08 +0000,Running,2679.999997973442,sec,815.231 kcal,8340.05 m,,,C3D10525-FB91-43B8-BBF8-9D015DAA5469,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1397,"iPhone8,1",,2017-04-17 00:17:16 +0000,2017-04-17 00:43:31 +0000,Running,1574.9999980330467,sec,501.802 kcal,5080.13 m,,,93864996-E216-458F-AF29-D81FEFBFF6E1,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1492,"iPhone8,1",,2017-04-23 15:28:49 +0000,2017-04-23 16:16:41 +0000,Running,2871.999,sec,799.313 kcal,8310.17 m,,,6796954E-7B5D-4A14-9C60-02D512DCA6F4,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1514,"iPhone8,1",,2017-05-09 22:40:15 +0000,2017-05-09 22:58:08 +0000,Running,1072.999,sec,331.971 kcal,3357.53 m,,,2A391532-B055-47C9-9BE2-365E7A142EA3,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1514,"iPhone8,1",,2017-05-13 14:22:14 +0000,2017-05-13 14:51:00 +0000,Running,1726.999,sec,503 kcal,5220.25 m,,,30790746-D755-49E4-A9DC-BBE7F042D36A,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1543,"iPhone8,1",,2017-05-30 13:46:42 +0000,2017-05-30 14:17:57 +0000,Running,1874.999,sec,560.529 kcal,5700.01 m,,,B65C4EBA-4621-4761-B58F-023FEBAF92EB,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1543,"iPhone8,1",,2017-06-01 13:41:21 +0000,2017-06-01 14:11:33 +0000,Running,1811.999,sec,537.46 kcal,5484.41 m,,,8507E3D4-36D7-44C9-9FAC-C95FD50F44BC,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1543,"iPhone8,1",,2017-06-03 15:09:10 +0000,2017-06-03 15:40:33 +0000,Running,1882.999,sec,597.303 kcal,6061.95 m,,,CE2D0688-3222-4DB0-84D4-C38241ECE020,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1543,"iPhone8,1",,2017-06-05 13:49:08 +0000,2017-06-05 14:19:22 +0000,Running,1813.999,sec,585.221 kcal,5957.69 m,,,01822FDF-2779-42B7-9922-70DFCCA3B533,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1543,"iPhone8,1",,2017-06-06 13:52:10 +0000,2017-06-06 14:24:26 +0000,Running,1935.999,sec,615.024 kcal,6239.08 m,,,35AC85FC-B829-4967-9F72-CB61BFC38498,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1543,"iPhone8,1",,2017-06-08 13:51:33 +0000,2017-06-08 14:27:48 +0000,Running,2174.999,sec,647.121 kcal,6608.7 m,,,443B7ABA-2BAE-4612-AE3D-726979C6E27B,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1543,"iPhone8,1",,2017-06-11 15:13:46 +0000,2017-06-11 15:55:33 +0000,Running,2506.999,sec,835.234 kcal,8080.95 m,,,78B408D5-765E-4C2F-B894-CB62B9FE43DB,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1637,"iPhone8,1",,2017-06-13 13:48:45 +0000,2017-06-13 14:18:54 +0000,Running,1808.999,sec,602.313 kcal,5871.58 m,,,1B160A07-EB41-435F-BE26-6D97158DA09A,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1637,"iPhone8,1",,2017-06-14 22:27:54 +0000,2017-06-14 22:46:51 +0000,Running,1137.999,sec,391 kcal,3647.34 m,,,ADA46A54-0080-4CE5-884C-12B1F928B7F9,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1637,"iPhone8,1",,2017-06-16 14:08:37 +0000,2017-06-16 14:38:57 +0000,Running,1819.999,sec,608.129 kcal,5884.19 m,,,EB0A0239-EA97-4ACD-B813-5A3D25E90851,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1637,"iPhone8,1",,2017-06-19 13:56:26 +0000,2017-06-19 14:26:38 +0000,Running,1811.999,sec,612.841 kcal,6040.87 m,,,3B68B7FE-3F17-49A4-82E4-661CFDF2A78C,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1637,"iPhone8,1",,2017-06-20 14:04:41 +0000,2017-06-20 14:36:40 +0000,Running,1918.999,sec,634.535 kcal,6258.12 m,,,2FF78381-6BA4-466A-99F4-2565C468DF3E,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1649,"iPhone8,1",,2017-06-22 13:57:15 +0000,2017-06-22 14:27:27 +0000,Running,1811.999,sec,622.881 kcal,6152.81 m,,,599A1880-86D7-4FB4-88AA-203B04C6C943,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1678,"iPhone8,1",,2017-06-23 22:32:28 +0000,2017-06-23 22:49:32 +0000,Running,1023.999,sec,348.641 kcal,3410.76 m,,,D342D282-A61F-4F53-8CC4-831DFFB3BF16,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1678,"iPhone8,1",,2017-06-24 14:27:31 +0000,2017-06-24 15:06:11 +0000,Running,2319.999,sec,746.979 kcal,7419.49 m,,,C041AFAF-CC00-4340-8777-5E6A08120732,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1678,"iPhone8,1",,2017-06-27 13:51:58 +0000,2017-06-27 14:22:01 +0000,Running,1802.999,sec,596.734 kcal,5923.86 m,,,4397B482-C6B7-4591-8CBD-26330CDD5EB7,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1678,"iPhone8,1",,2017-06-29 13:57:59 +0000,2017-06-29 14:28:10 +0000,Running,1810.9989999999998,sec,634.017 kcal,6251.98 m,,,D31BD88A-5D1E-489F-9043-EBAAC2B80AFF,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1678,"iPhone8,1",,2017-06-30 13:59:41 +0000,2017-06-30 14:42:03 +0000,Running,2541.999,sec,852.898 kcal,8470.33 m,,,80D9AE99-E821-4F68-9E29-863C8AEE3B27,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1678,"iPhone8,1",,2017-07-01 15:18:28 +0000,2017-07-01 15:48:40 +0000,Running,1811.999,sec,636.5 kcal,6260.06 m,,,02E22296-8347-41C4-89DF-2A3CC3445A38,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1678,"iPhone8,1",,2017-07-03 14:07:00 +0000,2017-07-03 14:37:10 +0000,Running,1809.999,sec,639.485 kcal,6299.79 m,,,E5307253-FEC1-444F-87BA-3D6C0D04D57E,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1678,"iPhone8,1",,2017-07-04 14:17:35 +0000,2017-07-04 14:49:35 +0000,Running,1919.999,sec,609.063 kcal,6073.98 m,,,31113610-1FCF-45AB-9794-163A77FD50C3,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1678,"iPhone8,1",,2017-07-06 14:04:20 +0000,2017-07-06 14:34:30 +0000,Running,1809.999,sec,652.613 kcal,6425.91 m,,,13EBDDCE-0B9C-45DB-9D7C-34AA7249C73D,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1678,"iPhone8,1",,2017-07-07 14:30:19 +0000,2017-07-07 15:13:26 +0000,Running,2586.999,sec,824.051 kcal,8176.73 m,,,70B35120-4D37-4B0E-AE05-80F4DAAA6E24,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1697,"iPhone8,1",,2017-07-13 14:15:43 +0000,2017-07-13 14:39:43 +0000,Running,1439.999,sec,512.511 kcal,5005.9 m,,,3FC66B95-7115-49C8-9794-BCC3514CCCB9,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1706,"iPhone8,1",,2017-07-14 13:26:46 +0000,2017-07-14 13:58:31 +0000,Running,1904.999,sec,660.133 kcal,6496.5 m,,,C94386F8-2125-424A-945B-25087FF2AED2,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1706,"iPhone8,1",,2017-07-15 13:09:43 +0000,2017-07-15 13:46:29 +0000,Running,2205.999,sec,725.974 kcal,7136.88 m,,,645CE64D-9248-48A1-B2DE-F634262F5F91,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1706,"iPhone8,1",,2017-07-17 14:01:12 +0000,2017-07-17 14:29:24 +0000,Running,1692.999,sec,549 kcal,5577.33 m,,,15C11037-CA9A-4F44-9C1B-C93ECE5962C3,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1706,"iPhone8,1",,2017-07-19 13:55:13 +0000,2017-07-19 14:25:24 +0000,Running,1810.999,sec,633.596 kcal,6217.6 m,,,9E3568D3-5748-4E0C-A1CD-F0DDFA4544D5,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1706,"iPhone8,1",,2017-07-21 13:56:44 +0000,2017-07-21 14:26:53 +0000,Running,1808.999,sec,613.697 kcal,6027.44 m,,,4BC74922-BB14-4887-AD87-F3E539BF8C7F,,,,,,
HKWorkoutTypeIdentifier,Runkeeper,1706,"iPhone8,1",,2017-07-22 15:12:01 +0000,2017-07-22 16:06:17 +0000,Running,3255.999,sec,1003.04 kcal,10003.1 m,,,924D8585-6F06-419B-B8AF-A1763BB6ADDB,,,,,,
